timestamp,cpu_usage,mem_used_mb,mem_free_mb
1767254262.1134305,1.0,537.9,6028.9
1767254263.3332813,0.5999999999999943,538.4,6028.2
1767254264.5490925,0.0,538.2,6028.4
1767254265.7653654,0.0,537.8,6028.3
1767254266.981054,0.0,537.8,6028.3
1767254268.2060223,0.5999999999999943,537.8,6028.3
1767254269.4385796,0.0,537.8,6028.3
1767254332.7369823,0.5999999999999943,547.1,5909.5
1767254333.9544778,0.5999999999999943,547.1,5909.6
1767254335.1715117,0.0,546.8,5909.8
1767254336.388542,0.0,546.8,5909.9
1767254337.6059592,0.0,547.0,5909.6
1767254338.8217914,0.5999999999999943,546.9,5910.0
1767254340.0407379,0.0,547.0,5909.6
1767254341.2615767,0.5999999999999943,547.0,5909.6
1767254342.4871688,0.5999999999999943,547.0,5909.6
1767254343.713699,0.5999999999999943,547.0,5909.6
1767254344.930705,0.5999999999999943,547.2,5909.4
1767254346.1506112,0.5999999999999943,547.2,5909.4
1767254347.3697348,0.0,547.7,5908.9
1767254348.593079,0.0,546.5,5910.1
1767254349.832538,0.5999999999999943,546.5,5910.1
1767254351.049439,0.0,546.0,5910.6
1767254352.2666059,0.0,545.7,5910.9
1767254353.4840856,0.5999999999999943,545.7,5910.9
1767254354.6990507,0.0,546.5,5910.1
1767254355.9138808,0.5999999999999943,546.5,5910.1
1767254357.130307,0.5999999999999943,546.4,5910.2
1767254358.3459067,0.5999999999999943,546.4,5910.2
1767254359.561712,0.0,545.7,5910.9
1767254360.7779121,0.0,546.2,5910.4
1767254361.9928477,0.0,546.2,5910.4
1767254363.2100813,0.5999999999999943,546.1,5910.4
1767254364.4452665,0.5999999999999943,546.6,5910.0
1767254365.6711855,0.0,546.1,5910.5
1767254366.887532,0.0,546.3,5910.3
1767254368.102511,0.0,546.3,5910.3
1767254369.3185728,0.5999999999999943,547.3,5909.5
1767254370.5338893,0.0,546.1,5910.6
1767254371.7504387,0.5999999999999943,546.5,5910.1
1767255392.43333,1.7000000000000028,551.0,5995.5
1767255393.746508,0.5999999999999943,551.0,5995.6
1767255394.9822416,0.0,551.5,5994.8
1767255396.1992617,0.5999999999999943,551.1,5995.3
1767255397.4158778,0.0,551.0,5995.3
1767255398.6322834,0.0,551.0,5995.3
1767255399.8471498,0.5999999999999943,551.0,5995.3
1767255401.0690532,31.099999999999994,558.1,5980.4
1767255402.2843049,6.5,609.5,5886.6
1767255403.5007524,0.0,624.7,5857.3
1767255404.717072,0.5999999999999943,625.2,5856.8
1767255405.9343688,7.0,666.7,5815.4
1767255407.1497989,0.0,627.8,5854.3
1767255408.367249,1.2000000000000028,627.5,5854.6
1767255409.5829747,0.0,627.0,5855.1
1767255410.7994835,0.0,627.0,5855.0
1767255412.0160062,0.5999999999999943,628.0,5854.1
1767255413.2324784,0.5999999999999943,628.0,5854.1
1767255414.4477937,0.5999999999999943,627.9,5854.2
1767255415.6639142,0.0,626.6,5855.4
1767255416.8788815,0.0,626.6,5855.4
1767255418.0958543,0.5999999999999943,626.6,5855.4
1767255419.312498,0.5999999999999943,626.8,5855.3
1767255420.5288389,1.2000000000000028,626.7,5855.3
1767255421.7448246,0.5999999999999943,628.2,5853.4
1767255422.961044,0.0,628.1,5853.5
1767255424.1780252,0.0,628.1,5853.5
1767255425.3945122,0.0,628.1,5853.5
1767255426.6114242,0.0,628.1,5853.5
1767255427.8272867,0.0,628.1,5853.5
1767255429.0434933,0.0,626.8,5854.7
1767255430.260828,0.5999999999999943,626.8,5854.7
1767255431.4773855,0.5999999999999943,626.7,5854.9
1767255432.6926467,0.5999999999999943,626.7,5854.9
1767255433.908392,0.5999999999999943,626.7,5854.9
1767255435.1234887,0.0,626.6,5854.9
